group,n,rec_rate,subgroup
"[65, 70)",5583,0.5950205982446714,age_band
"[70, 75)",5411,0.6447976344483459,age_band
"[75, 80)",5235,0.7025787965616046,age_band
"[80, 85)",5463,0.7428153029470986,age_band
"[85, 200)",7679,0.7971089985675218,age_band
1,12851,0.692475293751459,sex
2,16520,0.712409200968523,sex
1.0,8409,0.7918896420501843,education
2.0,1242,0.7383252818035426,education
3.0,8398,0.697308883067397,education
4.0,5984,0.6699532085561497,education
5.0,5329,0.6046162507036967,education
0.0,18398,0.5285357104033047,adl_any
1.0,10924,1.0,adl_any
0.0,20695,0.5803334138680841,diabetes
1.0,8358,1.0,diabetes
3.0,3,1.0,diabetes
4.0,169,1.0,diabetes
5.0,15,1.0,diabetes
6.0,59,1.0,diabetes
